m=1000 n=1000 k=1000
Testing file ran 10 times
Single Precision
LQ Reference: 1.7250919342041016e-01
LQ New: 1.8459391593933105e-01
Single Precision
QR AOCL: 2.4849891662597656e-02
QR Reference: 2.4802923202514648e-02
QR New: 3.4132003784179688e-02
QL AOCL: 2.1788120269775391e-02
QL Reference: 2.2398948669433594e-02
QL New: 3.1234979629516602e-02
RQ AOCL: 2.6743888854980469e-02
RQ Reference: 2.7759075164794922e-02
RQ New: 3.2636880874633789e-02
LQ AOCL: 2.6103019714355469e-02
LQ Reference: 3.0287981033325195e-02
LQ New: 3.1936168670654297e-02
Double Precision
QR AOCL: 3.8979053497314453e-02
QR Reference: 3.9600849151611328e-02
QR New: 4.6653985977172852e-02
QL AOCL: 3.9265871047973633e-02
QL Reference: 4.0315151214599609e-02
QL New: 4.6684026718139648e-02
RQ AOCL: 4.6329021453857422e-02
RQ Reference: 4.7220945358276367e-02
RQ New: 5.0554037094116211e-02
LQ AOCL: 4.6398878097534180e-02
LQ Reference: 5.0897836685180664e-02
LQ New: 5.0900936126708984e-02
Single Complex Precision
QR AOCL: 8.2084178924560547e-02
QR Reference: 8.3272933959960938e-02
QR New: 8.7421894073486328e-02
QL AOCL: 8.4068059921264648e-02
QL Reference: 8.4532976150512695e-02
QL New: 8.7506055831909180e-02
RQ AOCL: 8.0682992935180664e-02
RQ Reference: 8.1933021545410156e-02
RQ New: 8.9344024658203125e-02
LQ AOCL: 8.0973863601684570e-02
LQ Reference: 8.1820011138916016e-02
LQ New: 8.9397907257080078e-02
Double Complex Precision
QR AOCL: 1.6676402091979980e-01
QR Reference: 1.6733193397521973e-01
QR New: 1.4495611190795898e-01
QL AOCL: 1.6819405555725098e-01
QL Reference: 1.6936516761779785e-01
QL New: 1.4599585533142090e-01
RQ AOCL: 1.6932988166809082e-01
RQ Reference: 1.7165493965148926e-01
RQ New: 1.6403508186340332e-01
LQ AOCL: 1.6858100891113281e-01
LQ Reference: 1.7504405975341797e-01
LQ New: 1.6581416130065918e-01
Single Precision
QR AOCL: 2.1269083023071289e-02
QR Reference: 2.1909952163696289e-02
QR New: 3.1100034713745117e-02
QL AOCL: 2.1520137786865234e-02
QL Reference: 2.2689104080200195e-02
QL New: 3.1074047088623047e-02
RQ AOCL: 2.6454925537109375e-02
RQ Reference: 2.7553796768188477e-02
RQ New: 3.2090902328491211e-02
LQ AOCL: 2.6707172393798828e-02
LQ Reference: 3.1100988388061523e-02
LQ New: 3.2407999038696289e-02
Double Precision
QR AOCL: 4.0797948837280273e-02
QR Reference: 4.1270017623901367e-02
QR New: 4.6628952026367188e-02
QL AOCL: 4.0689945220947266e-02
QL Reference: 4.1795015335083008e-02
QL New: 4.6571969985961914e-02
RQ AOCL: 4.7062873840332031e-02
RQ Reference: 4.8395872116088867e-02
RQ New: 5.1699876785278320e-02
LQ AOCL: 4.7339916229248047e-02
LQ Reference: 5.1689147949218750e-02
LQ New: 5.1737070083618164e-02
Single Complex Precision
QR AOCL: 8.2561969757080078e-02
QR Reference: 8.3266973495483398e-02
QR New: 8.7143182754516602e-02
QL AOCL: 8.3353042602539062e-02
QL Reference: 8.4517002105712891e-02
QL New: 8.7269067764282227e-02
RQ AOCL: 8.0724000930786133e-02
RQ Reference: 8.1842184066772461e-02
RQ New: 8.9116096496582031e-02
LQ AOCL: 8.0955028533935547e-02
LQ Reference: 8.1614017486572266e-02
LQ New: 8.8724851608276367e-02
Double Complex Precision
QR AOCL: 1.6637110710144043e-01
QR Reference: 1.6731691360473633e-01
QR New: 1.4484000205993652e-01
QL AOCL: 1.6779685020446777e-01
QL Reference: 1.6902685165405273e-01
QL New: 1.4559888839721680e-01
RQ AOCL: 1.7127490043640137e-01
RQ Reference: 1.7211318016052246e-01
RQ New: 1.6341090202331543e-01
LQ AOCL: 1.6929292678833008e-01
LQ Reference: 1.7192387580871582e-01
LQ New: 1.6334581375122070e-01
Single Precision
QR AOCL: 2.0999908447265625e-02
QR Reference: 2.1543025970458984e-02
QR New: 3.1399965286254883e-02
QL AOCL: 2.0959138870239258e-02
QL Reference: 2.2156000137329102e-02
QL New: 3.1322956085205078e-02
RQ AOCL: 2.7836799621582031e-02
RQ Reference: 2.8830051422119141e-02
RQ New: 3.3518075942993164e-02
LQ AOCL: 2.7511119842529297e-02
LQ Reference: 3.1925916671752930e-02
LQ New: 3.3329010009765625e-02
Double Precision
QR AOCL: 3.9914131164550781e-02
QR Reference: 4.0302991867065430e-02
QR New: 4.6680212020874023e-02
QL AOCL: 3.9411067962646484e-02
QL Reference: 4.0484905242919922e-02
QL New: 4.6595096588134766e-02
RQ AOCL: 4.6457052230834961e-02
RQ Reference: 4.7770977020263672e-02
RQ New: 5.1088094711303711e-02
LQ AOCL: 4.5980215072631836e-02
LQ Reference: 5.0614118576049805e-02
LQ New: 5.0652980804443359e-02
Single Complex Precision
QR AOCL: 8.3193063735961914e-02
QR Reference: 8.3617925643920898e-02
QR New: 8.7327957153320312e-02
QL AOCL: 8.3986997604370117e-02
QL Reference: 8.5335016250610352e-02
QL New: 8.7456941604614258e-02
RQ AOCL: 8.0621004104614258e-02
RQ Reference: 8.1984996795654297e-02
RQ New: 8.8980913162231445e-02
LQ AOCL: 8.0853939056396484e-02
LQ Reference: 8.1679821014404297e-02
LQ New: 8.9070796966552734e-02
Double Complex Precision
QR AOCL: 1.6671609878540039e-01
QR Reference: 1.6733717918395996e-01
QR New: 1.4490985870361328e-01
QL AOCL: 1.6815900802612305e-01
QL Reference: 1.6914200782775879e-01
QL New: 1.4543509483337402e-01
RQ AOCL: 1.6983389854431152e-01
RQ Reference: 1.7200589179992676e-01
RQ New: 1.6440200805664062e-01
LQ AOCL: 1.6859006881713867e-01
LQ Reference: 1.7114996910095215e-01
LQ New: 1.6378092765808105e-01
Single Precision
QR AOCL: 2.1023988723754883e-02
QR Reference: 2.1661996841430664e-02
QR New: 3.1201839447021484e-02
QL AOCL: 2.1511793136596680e-02
QL Reference: 2.2696971893310547e-02
QL New: 3.1152009963989258e-02
RQ AOCL: 2.6397943496704102e-02
RQ Reference: 2.7445077896118164e-02
RQ New: 3.2232999801635742e-02
LQ AOCL: 2.6882886886596680e-02
LQ Reference: 3.1303882598876953e-02
LQ New: 3.2649040222167969e-02
Double Precision
QR AOCL: 3.9832115173339844e-02
QR Reference: 4.0569067001342773e-02
QR New: 4.6643018722534180e-02
QL AOCL: 3.9304971694946289e-02
QL Reference: 4.0287971496582031e-02
QL New: 4.6528816223144531e-02
RQ AOCL: 4.6761035919189453e-02
RQ Reference: 4.7930955886840820e-02
