m=1000 n=1000 k=100
LQ New: 3.3005952835083008e-02:1.0953275665343803e+01
Double Complex Precision
QR AOCL: 8.3048105239868164e-02:4.3531781845691864e+00
QR Reference: 8.8049888610839844e-02:4.1058904866745376e+00
QR New: 1.2757110595703125e-01:2.8338956324621734e+00
QL AOCL: 9.4133853912353516e-02:3.8405226703732782e+00
QL Reference: 9.6024990081787109e-02:3.7648866164118404e+00
QL New: 1.3314199447631836e-01:2.7153205975467287e+00
RQ AOCL: 1.0553598403930664e-01:3.4255927330468769e+00
RQ Reference: 9.4322919845581055e-02:3.8328255803770799e+00
RQ New: 9.5680952072143555e-02:3.7784249860663071e+00
LQ AOCL: 8.9015007019042969e-02:4.0613747289000308e+00
LQ Reference: 8.8466882705688477e-02:4.0865382496036995e+00
LQ New: 9.2185020446777344e-02:3.9217141597177823e+00
Single Precision
QR AOCL: 1.6216993331909180e-02:2.2292862345121215e+01
QR Reference: 1.4813184738159180e-02:2.4405501341565401e+01
QR New: 1.4700889587402344e-02:2.4591926757262407e+01
QL AOCL: 1.5222072601318359e-02:2.3749932710785327e+01
QL Reference: 1.4971971511840820e-02:2.4146666303371180e+01
QL New: 1.4935016632080078e-02:2.4206414288381598e+01
RQ AOCL: 1.6126155853271484e-02:2.2418442639983443e+01
RQ Reference: 1.6180992126464844e-02:2.2342468074544705e+01
RQ New: 1.6029834747314453e-02:2.2553152025510901e+01
LQ AOCL: 1.5017032623291016e-02:2.4074216862210651e+01
LQ Reference: 1.0004043579101562e-02:3.6137717428102953e+01
LQ New: 9.5419883728027344e-03:3.7887627387017140e+01
Double Precision
QR AOCL: 2.8777122497558594e-02:1.2562868300354598e+01
QR Reference: 2.7958869934082031e-02:1.2930536922713785e+01
QR New: 2.7940988540649414e-02:1.2938812077963702e+01
QL AOCL: 2.4844884872436523e-02:1.4551212527496233e+01
QL Reference: 2.4870157241821289e-02:1.4536425985762081e+01
QL New: 2.4809837341308594e-02:1.4571768247672496e+01
RQ AOCL: 2.5998830795288086e-02:1.3905367623897952e+01
RQ Reference: 2.5816202163696289e-02:1.4003736789309297e+01
RQ New: 2.5841951370239258e-02:1.3989783310882100e+01
LQ AOCL: 2.7662038803100586e-02:1.3069293358068659e+01
LQ Reference: 1.4803886413574219e-02:2.4420837197758164e+01
LQ New: 1.4481782913208008e-02:2.4964004927202385e+01
Single Complex Precision
QR AOCL: 3.5801887512207031e-02:1.0097881009115367e+01
